country,sex,age,marriage_duration,n_children,n_broughtup_children,education,material_status,religion,religiousity,pension,mrq,kansas,age_at_marriage
Brazil,female,43,18,2,2,5,2,1.0,5,1,1.1111111111111112,6.666666666666667,25
Brazil,male,59,35,4,0,5,3,1.0,4,5,1.7777777777777777,4.0,24
Brazil,male,22,5,0,0,4,4,1.0,2,1,3.111111111111111,5.0,17
Brazil,male,35,6,0,0,5,2,1.0,3,7,1.0,4.333333333333333,29
Brazil,female,29,1,0,0,5,3,1.0,3,5,1.3333333333333333,6.333333333333333,28
Brazil,female,28,7,1,1,5,3,1.0,4,4,1.0,5.0,21
Brazil,female,38,10,2,2,5,3,1.0,5,4,1.0,7.0,28
Brazil,male,30,2,0,0,3,2,1.0,5,2,1.4444444444444444,7.0,28
Brazil,female,27,1,0,0,5,3,1.0,4,1,1.1111111111111112,6.333333333333333,26
Brazil,female,48,14,3,1,5,3,1.0,3,6,1.1111111111111112,6.666666666666667,34
Brazil,female,34,9,3,3,5,2,1.0,4,7,1.3333333333333333,5.666666666666667,25
Brazil,female,46,23,2,0,5,3,1.0,6,5,1.6666666666666667,4.666666666666667,23
Brazil,female,42,23,1,0,5,3,1.0,5,6,1.0,6.333333333333333,19
Brazil,female,25,1,0,0,5,2,1.0,3,4,1.2222222222222223,5.666666666666667,24
Brazil,male,26,3,1,1,5,2,1.0,4,5,1.0,7.0,23
Brazil,male,24,2,0,0,5,2,2.0,4,3,1.0,1.0,22
Brazil,male,43,23,2,0,3,3,2.0,3,1,1.0,7.0,20
Brazil,male,27,4,0,2,4,2,2.0,4,4,1.0,7.0,23
Brazil,female,34,3,0,0,5,2,2.0,3,6,1.2222222222222223,7.0,31
Brazil,male,52,38,2,2,5,2,2.0,4,2,1.0,7.0,14
Brazil,male,26,0,0,0,3,2,2.0,7,3,1.0,7.0,26
Brazil,male,49,33,3,0,5,2,2.0,5,6,1.0,5.666666666666667,16
Brazil,female,63,38,2,0,5,2,2.0,4,2,1.0,7.0,25
Brazil,male,32,6,0,0,4,3,2.0,4,6,2.111111111111111,2.6666666666666665,26
Brazil,male,35,4,1,1,4,3,2.0,4,3,1.1111111111111112,6.0,31
